UniprotID,manifest_order_index,base_completed,assigned_shard,assigned_gpu,assignment_reason
Q50773,3558,false,0,0,remaining_order_3488_mod_4
Q50774,3559,false,1,1,remaining_order_3489_mod_4
Q50974,3560,false,2,2,remaining_order_3490_mod_4
Q51703,3561,false,3,3,remaining_order_3491_mod_4
Q51892,3562,false,0,0,remaining_order_3492_mod_4
Q52522,3563,false,1,1,remaining_order_3493_mod_4
Q52523,3564,false,2,2,remaining_order_3494_mod_4
Q52524,3565,false,3,3,remaining_order_3495_mod_4
Q52525,3566,false,0,0,remaining_order_3496_mod_4
Q52984,3567,false,1,1,remaining_order_3497_mod_4
Q52KJ8,3568,false,2,2,remaining_order_3498_mod_4
Q53F39,3569,false,3,3,remaining_order_3499_mod_4
Q54GY8,3570,false,0,0,remaining_order_3500_mod_4
Q54NK8,3571,false,1,1,remaining_order_3501_mod_4
Q54PU2,3572,false,2,2,remaining_order_3502_mod_4
Q54RY8,3573,false,3,3,remaining_order_3503_mod_4
Q54TE7,3574,false,0,0,remaining_order_3504_mod_4
Q55053,3575,false,1,1,remaining_order_3505_mod_4
Q55054,3576,false,2,2,remaining_order_3506_mod_4
Q55842,3577,false,3,3,remaining_order_3507_mod_4
Q566S6,3578,false,0,0,remaining_order_3508_mod_4
Q566V0,3579,false,1,1,remaining_order_3509_mod_4
Q566Y9,3580,false,2,2,remaining_order_3510_mod_4
Q56724,3581,false,3,3,remaining_order_3511_mod_4
Q56775,3582,false,0,0,remaining_order_3512_mod_4
Q56855,3583,false,1,1,remaining_order_3513_mod_4
